proyecto_id;titulo;fecha_inicio;fecha_finalizacion;monto_financiado_solicitado;monto_financiado_adjudicado;cantidad_miembros_F;cantidad_miembros_M;cantidad_miembros_S/D;area;subarea;tipo_proyecto
20107;PESTICIDAS NANO-FUNCIONALIZADOS: EFECTOS GENOTÓXICOS Y SUS POSIBLES MECANISMOS DE ACCIÓN EN DIFERENTES MATRICES BIÓTICAS;28/12/16;28/3/17;6213000;6213000;3;3;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20120;Eliminación de contaminantes emergentes en aguas mediante adsorción sobre sílica organofuncionalizada;28/12/16;28/2/17;1300000;1300000;1;2;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20123;BIOLOGÍA DE SISTEMAS Y SECUENCIACIÓN MASIVA DE ADN APLICADAS A DISECTAR RELACIONES GENOTIPO-FENOTIPO EN PLANTAS;21/10/16;21/2/17;35400000;35400000;2;8;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
20132;Nuevas dianas moleculares en la matriz extracelular para el desarrollo de estrategias terapéuticas en enfermedades neurodegenerativas;18/11/16;18/2/17;7500000;7500000;2;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
20134;Rol del ciclado de calcio por los receptores de rianodina y SERCA2a en las arritmias ventriculares y el daño por isquemia/reperfusión;28/12/16;28/3/17;3000000;3000000;2;2;0;SIN DATOS;SIN DATOS;Ciencia
20149;PIRÓLISIS LENTA PARA LA TRANSFORMACIÓN DE RECURSOS BIOMÁSICOS EN COMPUESTOS DE INTERÉS PARA LA PRODUCCION AGROPECUARIA;28/12/16;28/3/17;5897300;5897300;0;6;0;CIENCIAS AGRÍCOLAS;SIN DATOS;Ciencia
20162;Oxidación de lactosa en un Reactor con Agitador Monolítico;25/11/16;25/1/17;1300000;1300000;1;3;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20167;La fauna marina del Atlántico Sur en la ciencia, el derecho y el comercio (siglos XVIII y XIX);28/12/16;28/3/17;3260000;3260000;6;1;0;HUMANIDADES;SIN DATOS;Ciencia
20169;Valorización y aprovechamiento de derivados de residuos agrícolas y forestales: obtención de productos valiosos a partir de ácido levulínico;25/11/16;25/2/17;3000000;3000000;4;2;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20170;Fundamentos y aplicaciones de procesos con transferencia de calor y masa en sistemas con reacción química;28/12/16;28/3/17;6750000;6750000;2;7;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20179;Clonado del receptor de UV-B en maíz. Análisis de su interacción con el óxido nítrico y el factor transcripcional  P1;28/12/16;28/3/17;6300000;6300000;4;3;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
20180;Descarga terrestre de biomarcadores y contaminantes disueltos y particulados en el Río de la Plata y dinámica en la zona de mezcla;28/12/16;28/3/17;6300000;6300000;2;7;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
20183;Diseño y Optimización de Reactores Fotocatalíticos Solares para el Control de la Contaminación del Aire;25/11/16;25/1/17;1300000;1300000;1;3;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20184;Estudio mediante técnicas de caracterización espectroscópicas de catalizadores activos y selectivos para reacciones de oxidación de interés energético y ambiental;25/11/16;25/1/17;1300000;1300000;4;1;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20185;Interacción entre el estrés, el sistema inmune y los parásitos en carpinchos: ¿Profilaxis o cambio de estrategia de defensa ante situaciones de estrés nutricional?;25/11/16;25/1/17;1300000;1300000;SIN DATOS;SIN DATOS;SIN DATOS;SIN DATOS;SIN DATOS;Ciencia
20189;Continuidad y cambio en los patrones de explotación de recursos en el centro de Río Negro durante el Holoceno tardío.;28/12/16;28/3/17;2234500;2234500;5;4;0;HUMANIDADES;SIN DATOS;Ciencia
20190;Tensiones entre el régimen institucional, las demandas distributivas y los imperativos coyunturales de una economía globalizada.;11/11/16;11/2/17;3750000;3750000;0;8;0;HUMANIDADES;SIN DATOS;Ciencia
20199;Climatología Espacial y Meteorología Geodésica;28/12/16;28/3/17;7500000;7500000;5;2;0;CIENCIAS NATURALES Y EXACTAS;SIN DATOS;Ciencia
20202;(Des)articulación de la 'tradición clásica' en la cultura argentina, siglos XIX-XX;18/11/16;18/2/17;2250000;2250000;3;2;0;HUMANIDADES;SIN DATOS;Ciencia
20210;MOLECULAR MECHANISMS UNDERLYING NEURAL CIRCUIT FORMATION: DENTATE GYRUS REMODELING IN THE DEVELOPING AND ADULT BRAIN;21/10/16;21/2/17;36000000;36000000;7;7;0;SIN DATOS;SIN DATOS;Ciencia
20211;Depósito electrolítico de cobre y cobre compuesto con partículas sin cianuros. Eliminación del 'strike' de cobre.;21/10/16;21/1/17;7200000;7200000;2;6;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
20214;SensAr: Biosensado de arsénico en agua;13/7/16;13/9/16;4800000;4800000;1;3;0;INGENIERÍAS Y TECNOLOGÍAS;SIN DATOS;Ciencia
