ID,Fecha de Inicio
13345,1/1/15
13378,1/1/15
13379,1/1/15
13387,1/1/15
13437,1/1/15
13438,1/1/15
13704,1/1/15
13891,1/1/15
13892,1/1/15
14495,1/1/15
14585,1/1/15
14586,1/1/15
14593,1/1/15
14598,1/1/15
14862,1/1/15
14863,1/1/15
14869,1/1/15
14870,1/1/15
14913,1/1/15
14929,1/1/15
15006,1/1/15
15203,1/1/15
15233,1/1/15
15235,1/1/15
15317,1/1/15
15370,1/1/15
15410,1/1/15
15472,1/1/15
15474,1/1/15
15534,1/1/15
15653,1/1/15
15665,1/1/15
15752,1/1/15
15766,1/1/15
15899,1/1/15
16022,1/1/15
16127,1/1/15
16156,1/1/15
16206,1/1/15
16484,1/1/15
16573,1/1/15
16629,1/1/15
16706,1/1/15
16773,1/1/15
16775,1/1/15
16780,1/1/15
16790,1/1/15
16806,1/1/15
16859,1/1/15
16863,1/1/15
16887,1/1/15
16893,1/1/15
17012,1/1/15
17017,1/1/15
17059,1/1/15
17073,1/1/15
17081,1/1/15
17233,1/1/15
17259,1/1/15
17260,1/1/15
17277,1/1/15
17329,1/1/15
17533,1/1/15
17684,1/1/15
17690,1/1/15
17697,1/1/15
17702,1/1/15
17728,1/1/15
17813,1/1/15
17819,1/1/15
17829,1/1/15
17833,1/1/15
17839,1/1/15
17851,1/1/15
17857,1/1/15
17870,1/1/15
17885,1/1/15
17895,1/1/15
17901,1/1/15
17906,1/1/15
17916,1/1/15
17917,1/1/15
17977,1/1/15
17985,1/1/15
17998,1/1/15
17999,1/1/15
18011,1/1/15
18015,1/1/15
18016,1/1/15
18105,1/1/15
18108,1/1/15
18191,1/1/15
18197,1/1/15
18295,1/1/15
18380,1/1/15
18432,1/1/15
18497,1/1/15
18538,1/1/15
18539,1/1/15
18544,1/1/15
18583,1/1/15
18586,1/1/15
21681,1/1/15
21682,1/1/15
7002,5/1/15
6786,7/1/15
20260,7/1/15
6843,7/1/15
6982,8/1/15
12909,8/1/15
7003,9/1/15
88,9/1/15
6728,12/1/15
6688,13/1/15
10131,14/1/15
10831,14/1/15
6829,15/1/15
6869,15/1/15
10093,16/1/15
11364,16/1/15
6724,19/1/15
6796,19/1/15
6861,19/1/15
6980,19/1/15
7821,19/1/15
6879,20/1/15
20335,21/1/15
10773,21/1/15
6835,21/1/15
10145,23/1/15
10162,23/1/15
10828,23/1/15
3483,23/1/15
10088,26/1/15
10834,26/1/15
3480,26/1/15
7850,26/1/15
10102,27/1/15
7131,27/1/15
10187,28/1/15
10094,29/1/15
10105,29/1/15
11549,29/1/15
6844,30/1/15
312,30/1/15
1220,30/1/15
1285,30/1/15
3061,30/1/15
3476,30/1/15
4455,30/1/15
4488,30/1/15
4490,30/1/15
4538,30/1/15
4824,30/1/15
10180,2/2/15
7017,2/2/15
10178,3/2/15
59,3/2/15
11117,4/2/15
4803,6/2/15
19309,6/2/15
6822,7/2/15
1019,12/2/15
1030,12/2/15
3587,12/2/15
5402,12/2/15
1280,13/2/15
4518,13/2/15
4540,13/2/15
4624,13/2/15
4853,13/2/15
19312,13/2/15
6677,19/2/15
12819,19/2/15
56,19/2/15
1252,20/2/15
10173,23/2/15
20303,23/2/15
10092,24/2/15
10109,26/2/15
10120,26/2/15
10154,26/2/15
12794,26/2/15
77,26/2/15
85,26/2/15
10765,27/2/15
4492,27/2/15
4532,27/2/15
4723,27/2/15
13343,2/3/15
13344,2/3/15
13362,2/3/15
13363,2/3/15
13365,2/3/15
13366,2/3/15
13367,2/3/15
13368,2/3/15
13369,2/3/15
13370,2/3/15
13371,2/3/15
13372,2/3/15
13373,2/3/15
13384,2/3/15
13385,2/3/15
13393,2/3/15
13395,2/3/15
13402,2/3/15
13408,2/3/15
13421,2/3/15
13430,2/3/15
13431,2/3/15
13443,2/3/15
13501,2/3/15
13502,2/3/15
13503,2/3/15
13504,2/3/15
13543,2/3/15
13544,2/3/15
13545,2/3/15
13546,2/3/15
13561,2/3/15
13562,2/3/15
13574,2/3/15
13575,2/3/15
13576,2/3/15
13580,2/3/15
13588,2/3/15
13596,2/3/15
13597,2/3/15
13611,2/3/15
13620,2/3/15
13621,2/3/15
13637,2/3/15
13638,2/3/15
13651,2/3/15
13677,2/3/15
13678,2/3/15
13679,2/3/15
13692,2/3/15
13703,2/3/15
